;number;id;count;thumbnail_path;error;status;obj_names;obj_scores;ocr_texts;emotions;colors;cropped_colors;gray_mean_score;color_mean_score;gray_hist_score;red_hist_score;green_hist_score;blue_hist_score;edges_score;entropy_score;vevo
1409;1409;D5D90CLAILY;13;['images\\maxresdefault\\1409_US_D5D90CLAILY_0.jpg'];[False];[200];['person', 'dog'];[0.912228, 0.8061401];" 
";['happy'];[([(0, 135, 255), 'DodgerBlue1'], 15085.0), ([(0, 95, 215), 'DodgerBlue3'], 11368.0), ([(95, 175, 255), 'SteelBlue1'], 4313.0), ([(0, 95, 175), 'DeepSkyBlue4'], 2990.0), ([(95, 215, 255), 'SteelBlue1'], 2294.0)];[([(128, 128, 128), 'Gray'], 5895.0), ([(0, 128, 128), 'Teal'], 5148.0), ([(0, 0, 255), 'Blue'], 4805.0), ([(128, 128, 0), 'Olive'], 1031.0), ([(0, 0, 0), 'Black'], 844.0)];1357103.0;1040676.0;8896.5302734375;7725.6875;8569.642578125;6955.166015625;1679182.0;394.21233268504744;False
1410;1410;D5bEwcJ8eCI;5;['images\\maxresdefault\\1410_US_D5bEwcJ8eCI_0.jpg'];[False];[200];[];[];"  
    

    

SMV Rciedh (chi a
aassnl Ne)
TH D STATES""

Ue
RP AN. VAN BY NN
";[];[([(0, 0, 95), 'NavyBlue'], 15141.0), ([(28, 28, 28), 'Grey11'], 14074.0), ([(38, 38, 38), 'Grey15'], 4612.0), ([(255, 255, 255), 'White'], 4203.0), ([(255, 175, 0), 'Orange1'], 3299.0)];[([(0, 0, 0), 'Black'], 7473.0), ([(0, 0, 128), 'Navy'], 5650.0), ([(255, 255, 255), 'White'], 2660.0), ([(255, 0, 255), 'Magenta'], 1673.0), ([(128, 128, 128), 'Gray'], 1456.0)];1130542.0;958834.0;6320.39794921875;4879.11181640625;5923.66162109375;6040.54736328125;1678839.0;222.94588719826106;False
1411;1411;D6Oy4LfoqsU;26;['images\\maxresdefault\\1411_US_D6Oy4LfoqsU_0.jpg'];[False];[200];['person', 'person', 'scissors'];[0.93917805, 0.92061985, 0.6137486];" 
";['happy', 'happy'];[([(255, 255, 255), 'White'], 10407.0), ([(238, 238, 238), 'Grey93'], 2879.0), ([(18, 18, 18), 'Grey7'], 2750.0), ([(215, 175, 135), 'Tan'], 2278.0), ([(48, 48, 48), 'Grey19'], 2204.0)];[([(128, 128, 128), 'Gray'], 7132.0), ([(192, 192, 192), 'Silver'], 5665.0), ([(255, 255, 255), 'White'], 4427.0), ([(0, 0, 0), 'Black'], 1911.0), ([(128, 0, 0), 'Maroon'], 1024.0)];1039137.0;1046377.0;3411.287109375;4273.884765625;3264.847900390625;3928.63134765625;1678591.0;299.0385539411967;False
1412;1412;D7JorwX31CQ;5;['images\\maxresdefault\\1412_US_D7JorwX31CQ_0.jpg'];[False];[200];['person', 'tie'];[0.9342315, 0.6674579];" 
";['neutral'];[([(215, 215, 175), 'LightYellow3'], 7467.0), ([(238, 238, 238), 'Grey93'], 5254.0), ([(95, 135, 135), 'PaleTurquoise4'], 4144.0), ([(58, 58, 58), 'Grey23'], 2870.0), ([(228, 228, 228), 'Grey89'], 2540.0)];[([(0, 0, 0), 'Black'], 5079.0), ([(192, 192, 192), 'Silver'], 4128.0), ([(128, 0, 0), 'Maroon'], 3576.0), ([(128, 128, 128), 'Gray'], 3477.0), ([(128, 128, 0), 'Olive'], 2202.0)];1133219.0;1033537.0;4913.69921875;3334.760009765625;4541.22216796875;5361.54150390625;1679507.0;281.7928154673378;False
1413;1413;D7plDibrP1U;6;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
1414;1414;D7sj7L1uLiw;7;['images\\maxresdefault\\1414_US_D7sj7L1uLiw_0.jpg'];[False];[200];['truck', 'truck'];[0.95147675, 0.94820803];" 
";[];[([(18, 18, 18), 'Grey7'], 4081.0), ([(175, 255, 255), 'PaleTurquoise1'], 3762.0), ([(28, 28, 28), 'Grey11'], 3588.0), ([(48, 48, 48), 'Grey19'], 2909.0), ([(135, 135, 95), 'Wheat4'], 2654.0)];[([(0, 0, 0), 'Black'], 6645.0), ([(128, 128, 128), 'Gray'], 6567.0), ([(128, 0, 0), 'Maroon'], 1927.0), ([(192, 192, 192), 'Silver'], 1915.0), ([(128, 128, 0), 'Olive'], 1627.0)];1082478.0;1013146.0;3050.26171875;3158.170166015625;3352.18701171875;3074.796875;1678900.0;283.18373183846245;False
1415;1415;D818vkK10UQ;8;['images\\maxresdefault\\1415_US_D818vkK10UQ_0.jpg'];[False];[200];['person', 'person'];[0.8962704, 0.8962121];" 
";['neutral', 'neutral'];[([(175, 175, 135), 'NavajoWhite3'], 5797.0), ([(215, 215, 175), 'LightYellow3'], 4310.0), ([(215, 175, 175), 'MistyRose3'], 3848.0), ([(215, 175, 135), 'Tan'], 3681.0), ([(218, 218, 218), 'Grey85'], 3467.0)];[([(192, 192, 192), 'Silver'], 11650.0), ([(128, 128, 128), 'Gray'], 6622.0), ([(255, 255, 255), 'White'], 1174.0), ([(128, 128, 0), 'Olive'], 706.0), ([(128, 0, 0), 'Maroon'], 346.0)];767102.0;964532.0;8781.6845703125;7433.47802734375;8733.759765625;8901.181640625;1679032.0;200.641230980437;False
1416;1416;D8PXRnN0KPU;4;['images\\maxresdefault\\1416_US_D8PXRnN0KPU_0.jpg'];[False];[200];['person'];[0.85046417];" 
";[];[([(135, 95, 95), 'LightPink4'], 15801.0), ([(58, 58, 58), 'Grey23'], 6141.0), ([(48, 48, 48), 'Grey19'], 5892.0), ([(68, 68, 68), 'Grey27'], 5857.0), ([(78, 78, 78), 'Grey30'], 5544.0)];[([(128, 128, 0), 'Olive'], 6921.0), ([(128, 128, 128), 'Gray'], 6893.0), ([(128, 0, 0), 'Maroon'], 4760.0), ([(0, 0, 0), 'Black'], 1747.0), ([(192, 192, 192), 'Silver'], 363.0)];1397115.0;1106012.0;7244.0537109375;7404.9716796875;7116.68212890625;7386.6728515625;1679763.0;191.4791213819929;False
1417;1417;D8mu5AgUsPs;13;['images\\maxresdefault\\1417_US_D8mu5AgUsPs_0.jpg'];[False];[200];['person'];[0.8123969];" 
";['neutral'];[([(38, 38, 38), 'Grey15'], 8796.0), ([(28, 28, 28), 'Grey11'], 7544.0), ([(18, 18, 18), 'Grey7'], 7373.0), ([(48, 48, 48), 'Grey19'], 6132.0), ([(135, 95, 95), 'LightPink4'], 5167.0)];[([(0, 0, 0), 'Black'], 9411.0), ([(128, 128, 128), 'Gray'], 6302.0), ([(128, 0, 0), 'Maroon'], 2706.0), ([(128, 128, 0), 'Olive'], 1307.0), ([(0, 0, 128), 'Navy'], 351.0)];1373440.0;872954.0;5979.7841796875;5855.0537109375;6106.96044921875;4892.4970703125;1678866.0;199.50291728635167;False
1418;1418;DAi3GgwhDR0;9;['images\\maxresdefault\\1418_US_DAi3GgwhDR0_0.jpg'];[False];[200];['person'];[0.9461617];" 
";[];[([(95, 135, 95), 'DarkSeaGreen4'], 22022.0), ([(38, 38, 38), 'Grey15'], 8489.0), ([(28, 28, 28), 'Grey11'], 7289.0), ([(18, 18, 18), 'Grey7'], 5050.0), ([(0, 0, 0), 'Black'], 2633.0)];[([(0, 0, 0), 'Black'], 11678.0), ([(128, 128, 0), 'Olive'], 3098.0), ([(128, 0, 0), 'Maroon'], 2545.0), ([(128, 128, 128), 'Gray'], 1668.0), ([(192, 192, 192), 'Silver'], 1029.0)];1394486.0;1114417.0;9042.4287109375;8098.55224609375;8343.81640625;8990.1767578125;1679740.0;331.1679441711475;False
1419;1419;DCUD9kjYOAk;11;['images\\maxresdefault\\1419_US_DCUD9kjYOAk_0.jpg'];[False];[200];['umbrella'];[0.67499053];" 

 

 

 

 
";[];[([(38, 38, 38), 'Grey15'], 6530.0), ([(28, 28, 28), 'Grey11'], 6249.0), ([(48, 48, 48), 'Grey19'], 5781.0), ([(58, 58, 58), 'Grey23'], 5487.0), ([(68, 68, 68), 'Grey27'], 4695.0)];[([(128, 128, 128), 'Gray'], 6322.0), ([(0, 0, 0), 'Black'], 5134.0), ([(0, 128, 128), 'Teal'], 4542.0), ([(192, 192, 192), 'Silver'], 2407.0), ([(128, 0, 0), 'Maroon'], 1050.0)];1227886.0;910061.0;5149.00732421875;6092.0390625;5583.4150390625;5171.1689453125;1679149.0;185.20318041414026;False
1420;1420;DCcA4FyWeXI;5;['images\\maxresdefault\\1420_US_DCcA4FyWeXI_0.jpg'];[False];[200];['scissors'];[0.5487394];"Getting Over It

with Bennett Foddy
";[];[([(255, 255, 255), 'White'], 49106.0), ([(0, 0, 0), 'Black'], 2662.0), ([(192, 192, 192), 'Silver'], 2084.0), ([(48, 48, 48), 'Grey19'], 665.0), ([(238, 238, 238), 'Grey93'], 381.0)];[([(255, 255, 255), 'White'], 18699.0), ([(0, 0, 0), 'Black'], 840.0), ([(128, 128, 128), 'Gray'], 670.0), ([(192, 192, 192), 'Silver'], 527.0), ([(255, 0, 0), 'Red'], 0.0)];1158592.0;1445855.0;13033.462890625;12934.2412109375;12958.8974609375;12542.90625;1680058.0;1359.8256492392175;False
1421;1421;DD4jmj9AevM;7;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
1422;1422;DEXfRMTRJss;9;['images\\maxresdefault\\1422_US_DEXfRMTRJss_0.jpg'];[False];[200];['person'];[0.82142043];" 
";[];[([(0, 0, 0), 'Black'], 18574.0), ([(8, 8, 8), 'Grey3'], 7485.0), ([(18, 18, 18), 'Grey7'], 5405.0), ([(68, 68, 68), 'Grey27'], 3861.0), ([(0, 95, 135), 'DeepSkyBlue4'], 3179.0)];[([(0, 0, 0), 'Black'], 11828.0), ([(128, 128, 128), 'Gray'], 3914.0), ([(0, 128, 128), 'Teal'], 3660.0), ([(0, 0, 128), 'Navy'], 763.0), ([(192, 192, 192), 'Silver'], 384.0)];1362086.0;1393833.0;7797.666015625;6261.2197265625;7187.513671875;8403.134765625;1679760.0;511.16519848987537;False
1423;1423;DFZmEaNqdNc;5;['images\\maxresdefault\\1423_US_DFZmEaNqdNc_0.jpg'];[False];[200];['person', 'banana'];[0.9163765, 0.5928301];" 
";['neutral'];[([(228, 228, 228), 'Grey89'], 8230.0), ([(215, 215, 255), 'LightSteelBlue1'], 3804.0), ([(68, 68, 68), 'Grey27'], 2431.0), ([(95, 95, 135), 'MediumPurple4'], 2342.0), ([(218, 218, 218), 'Grey85'], 2293.0)];[([(128, 128, 128), 'Gray'], 7342.0), ([(192, 192, 192), 'Silver'], 5084.0), ([(255, 255, 255), 'White'], 2387.0), ([(0, 0, 0), 'Black'], 1965.0), ([(128, 0, 0), 'Maroon'], 1499.0)];994509.0;930255.0;4737.36181640625;5445.28271484375;4925.92919921875;5221.923828125;1678974.0;292.24699691110857;False
1424;1424;DGdSlnw4D_M;8;['images\\maxresdefault\\1424_US_DGdSlnw4D_M_0.jpg'];[False];[200];['boat', 'person'];[0.906759, 0.73813784];" 
";[];[([(95, 175, 215), 'SkyBlue3'], 10560.0), ([(95, 135, 215), 'SteelBlue3'], 5599.0), ([(175, 215, 215), 'LightCyan3'], 4537.0), ([(135, 175, 215), 'LightSkyBlue3'], 4271.0), ([(78, 78, 78), 'Grey30'], 2202.0)];[([(128, 128, 128), 'Gray'], 9452.0), ([(192, 192, 192), 'Silver'], 7313.0), ([(255, 255, 255), 'White'], 1895.0), ([(0, 0, 0), 'Black'], 873.0), ([(0, 128, 128), 'Teal'], 586.0)];773387.0;1071235.0;6049.6181640625;7219.0048828125;6307.4140625;5904.734375;1678676.0;245.22274339320447;False
1425;1425;DGhPGH2YROA;14;['images\\maxresdefault\\1425_US_DGhPGH2YROA_0.jpg'];[False];[200];['person', 'chair'];[0.94466996, 0.6366528];" 
";[];[([(158, 158, 158), 'Grey62'], 6016.0), ([(255, 255, 255), 'White'], 4776.0), ([(148, 148, 148), 'Grey58'], 3508.0), ([(228, 228, 228), 'Grey89'], 3330.0), ([(168, 168, 168), 'Grey66'], 3260.0)];[([(128, 128, 128), 'Gray'], 8115.0), ([(192, 192, 192), 'Silver'], 8093.0), ([(255, 255, 255), 'White'], 3256.0), ([(0, 0, 0), 'Black'], 1055.0), ([(0, 128, 128), 'Teal'], 139.0)];657018.0;980243.0;7561.052734375;8378.265625;7914.01318359375;6743.52734375;1679167.0;172.23269648781604;False
1426;1426;DGzy8FE1Rhk;3;['images\\maxresdefault\\1426_US_DGzy8FE1Rhk_0.jpg'];[False];[200];['person'];[0.9461019];" 
";['happy'];[([(255, 255, 215), 'Cornsilk1'], 36524.0), ([(78, 78, 78), 'Grey30'], 1564.0), ([(68, 68, 68), 'Grey27'], 1328.0), ([(135, 95, 95), 'LightPink4'], 1252.0), ([(215, 175, 135), 'Tan'], 1226.0)];[([(255, 255, 255), 'White'], 10310.0), ([(128, 128, 128), 'Gray'], 5121.0), ([(192, 192, 192), 'Silver'], 2639.0), ([(0, 0, 0), 'Black'], 1185.0), ([(0, 128, 128), 'Teal'], 585.0)];1121740.0;1098890.0;9768.818359375;9441.814453125;9702.16015625;9506.787109375;1679875.0;1393.6022194256952;False
1427;1427;DIBw9dSVKdU;15;['images\\maxresdefault\\1427_US_DIBw9dSVKdU_0.jpg'];[False];[200];['person', 'person'];[0.553109, 0.5271226];"TEASER
ni

>
ee

 
";[];[([(0, 135, 255), 'DodgerBlue1'], 9775.0), ([(135, 95, 95), 'LightPink4'], 4996.0), ([(175, 95, 95), 'IndianRed'], 4517.0), ([(0, 175, 255), 'DeepSkyBlue1'], 2976.0), ([(0, 135, 215), 'DeepSkyBlue3'], 2744.0)];[([(128, 128, 128), 'Gray'], 6157.0), ([(0, 255, 255), 'Cyan'], 4386.0), ([(0, 128, 128), 'Teal'], 4187.0), ([(192, 192, 192), 'Silver'], 2552.0), ([(0, 0, 0), 'Black'], 1421.0)];973299.0;895265.0;5794.0068359375;4862.279296875;4466.21728515625;3635.536865234375;1679035.0;224.9570987301224;False
1428;1428;DIM6F38ITsY;5;['images\\maxresdefault\\1428_US_DIM6F38ITsY_0.jpg'];[False];[200];['person'];[0.8662436];" 
";[];[([(135, 215, 255), 'SkyBlue1'], 33960.0), ([(175, 215, 255), 'LightSkyBlue1'], 15814.0), ([(18, 18, 18), 'Grey7'], 787.0), ([(8, 8, 8), 'Grey3'], 742.0), ([(95, 95, 135), 'MediumPurple4'], 568.0)];[([(192, 192, 192), 'Silver'], 14834.0), ([(128, 128, 128), 'Gray'], 2637.0), ([(0, 0, 0), 'Black'], 2019.0), ([(0, 0, 128), 'Navy'], 650.0), ([(128, 0, 0), 'Maroon'], 262.0)];824003.0;523303.0;12695.169921875;12699.0322265625;12582.7548828125;11791.67578125;1680264.0;934.0634938794188;False
1429;1429;DIU3xPdhCBI;3;['images\\maxresdefault\\1429_US_DIU3xPdhCBI_0.jpg'];[False];[200];['person', 'person', 'person'];[0.96998626, 0.749386, 0.51926094];" 
  

 
   

f
”
a BI
y
+

-
] E
[
";[];[([(135, 95, 95), 'LightPink4'], 7396.0), ([(0, 0, 0), 'Black'], 6460.0), ([(8, 8, 8), 'Grey3'], 5921.0), ([(175, 95, 95), 'IndianRed'], 2470.0), ([(78, 78, 78), 'Grey30'], 2379.0)];[([(128, 128, 128), 'Gray'], 7261.0), ([(192, 192, 192), 'Silver'], 5719.0), ([(0, 0, 0), 'Black'], 3171.0), ([(128, 128, 0), 'Olive'], 1879.0), ([(128, 0, 0), 'Maroon'], 1586.0)];1132589.0;1219447.0;3784.5595703125;3658.083251953125;3527.240234375;3376.26220703125;1679160.0;370.87003775311746;False
1430;1430;DJFeaRWJdy8;4;['images\\maxresdefault\\1430_US_DJFeaRWJdy8_0.jpg'];[False];[200];['person'];[0.5750858];" 
";['happy'];[([(0, 0, 0), 'Black'], 10925.0), ([(95, 0, 0), 'DarkRed'], 4811.0), ([(8, 8, 8), 'Grey3'], 4522.0), ([(18, 18, 18), 'Grey7'], 3981.0), ([(95, 0, 95), 'DeepPink4'], 3733.0)];[([(0, 0, 0), 'Black'], 5688.0), ([(128, 0, 0), 'Maroon'], 5280.0), ([(128, 0, 128), 'Purple'], 3102.0), ([(128, 128, 128), 'Gray'], 2689.0), ([(128, 128, 0), 'Olive'], 2424.0)];1190375.0;1110799.0;4215.951171875;4867.4677734375;5110.74072265625;2489.738037109375;1678992.0;272.8320558288525;False
1431;1431;DJMyDoYkioY;1;['images\\maxresdefault\\1431_US_DJMyDoYkioY_0.jpg'];[False];[200];['person', 'person'];[0.95455146, 0.91740274];" 

ae fe
amt Cirw:
";['neutral'];[([(8, 8, 8), 'Grey3'], 9485.0), ([(28, 28, 28), 'Grey11'], 5982.0), ([(0, 0, 0), 'Black'], 4497.0), ([(135, 95, 95), 'LightPink4'], 3108.0), ([(48, 48, 48), 'Grey19'], 3053.0)];[([(0, 0, 0), 'Black'], 9213.0), ([(128, 128, 128), 'Gray'], 4229.0), ([(192, 192, 192), 'Silver'], 1835.0), ([(128, 128, 0), 'Olive'], 1740.0), ([(255, 0, 0), 'Red'], 1289.0)];1216830.0;1155175.0;3805.875244140625;4237.7939453125;3941.779541015625;3287.0556640625;1679277.0;358.7983068298822;False
1432;1432;DKMC6HViGTM;1;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
1433;1433;DKPCBAlDw2A;11;['images\\maxresdefault\\1433_US_DKPCBAlDw2A_0.jpg'];[False];[200];['person'];[0.6819114];"vevo
";[];[([(95, 0, 95), 'DeepPink4'], 19596.0), ([(0, 0, 0), 'Black'], 6689.0), ([(135, 0, 95), 'DeepPink4'], 6338.0), ([(175, 0, 135), 'MediumVioletRed'], 4571.0), ([(128, 0, 128), 'Purple'], 3887.0)];[([(128, 0, 128), 'Purple'], 13402.0), ([(0, 0, 0), 'Black'], 5368.0), ([(128, 0, 0), 'Maroon'], 650.0), ([(0, 0, 128), 'Navy'], 556.0), ([(255, 0, 255), 'Magenta'], 498.0)];1538357.0;1166673.0;8843.9775390625;6598.6826171875;11467.69921875;5540.83203125;1679598.0;197.2090149868436;True
1434;1434;DM-ni_LSOFE;4;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
1435;1435;DMKcO-T5Y4o;7;['images\\maxresdefault\\1435_US_DMKcO-T5Y4o_0.jpg'];[False];[200];['person'];[0.6095138];" 
";[];[([(18, 18, 18), 'Grey7'], 5485.0), ([(28, 28, 28), 'Grey11'], 3926.0), ([(158, 158, 158), 'Grey62'], 3407.0), ([(8, 8, 8), 'Grey3'], 3320.0), ([(175, 0, 95), 'DeepPink4'], 2930.0)];[([(0, 0, 0), 'Black'], 8082.0), ([(128, 128, 128), 'Gray'], 7791.0), ([(192, 192, 192), 'Silver'], 2315.0), ([(255, 255, 255), 'White'], 927.0), ([(128, 0, 0), 'Maroon'], 852.0)];1072328.0;1124274.0;3435.232421875;3524.623046875;3149.56689453125;3402.77880859375;1678671.0;290.55279716279597;False
1436;1436;DMT7EnJ_Kp8;4;['images\\maxresdefault\\1436_US_DMT7EnJ_Kp8_0.jpg'];[False];[200];['person', 'person'];[0.89088386, 0.8635206];"       

ae

ALiyes

bon appétit

_— -
";[];[([(78, 78, 78), 'Grey30'], 3394.0), ([(68, 68, 68), 'Grey27'], 3348.0), ([(135, 95, 95), 'LightPink4'], 3049.0), ([(175, 135, 95), 'LightSalmon3'], 3040.0), ([(215, 175, 95), 'LightGoldenrod3'], 2327.0)];[([(192, 192, 192), 'Silver'], 7271.0), ([(128, 128, 128), 'Gray'], 6246.0), ([(128, 128, 0), 'Olive'], 4359.0), ([(255, 255, 255), 'White'], 873.0), ([(128, 0, 0), 'Maroon'], 842.0)];850729.0;1003972.0;5679.328125;3553.9462890625;5939.06689453125;5709.87646484375;1678266.0;266.497311520421;False
1437;1437;DMlITdf3w-o;11;['images\\maxresdefault\\1437_US_DMlITdf3w-o_0.jpg'];[False];[200];['person', 'bowl', 'person', 'fork', 'sandwich', 'bowl', 'person'];[0.818109, 0.8168323, 0.7804641, 0.6907402, 0.6280726, 0.5976289, 0.52298903];" 
";[];[([(255, 255, 255), 'White'], 5737.0), ([(28, 28, 28), 'Grey11'], 3843.0), ([(38, 38, 38), 'Grey15'], 3343.0), ([(48, 48, 48), 'Grey19'], 2562.0), ([(18, 18, 18), 'Grey7'], 2201.0)];[([(0, 0, 0), 'Black'], 5772.0), ([(128, 128, 128), 'Gray'], 3850.0), ([(192, 192, 192), 'Silver'], 3198.0), ([(128, 128, 0), 'Olive'], 2960.0), ([(255, 255, 255), 'White'], 2796.0)];995380.0;993854.0;3214.23779296875;2070.931640625;2873.862548828125;4139.53759765625;1678365.0;401.7699347900698;False
1438;1438;DNrNMg8_gEs;16;['images\\maxresdefault\\1438_US_DNrNMg8_gEs_0.jpg'];[False];[200];['person', 'person'];[0.8584629, 0.5837565];" 
";['happy'];[([(215, 175, 95), 'LightGoldenrod3'], 5223.0), ([(238, 238, 238), 'Grey93'], 3725.0), ([(255, 215, 215), 'MistyRose1'], 3501.0), ([(255, 255, 255), 'White'], 3258.0), ([(228, 228, 228), 'Grey89'], 2638.0)];[([(192, 192, 192), 'Silver'], 8135.0), ([(255, 255, 255), 'White'], 3394.0), ([(128, 128, 128), 'Gray'], 3344.0), ([(255, 255, 0), 'Yellow'], 2336.0), ([(0, 0, 0), 'Black'], 1496.0)];865477.0;1026872.0;6704.75;4301.7685546875;6544.5078125;7075.5810546875;1678925.0;228.03317698203864;False
1439;1439;DOIw62TXYkg;1;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
1440;1440;DOyL60sgi28;5;['images\\maxresdefault\\1440_US_DOyL60sgi28_0.jpg'];[False];[200];[];[];" 
";[];[([(175, 215, 215), 'LightCyan3'], 11515.0), ([(135, 135, 175), 'LightSlateGrey'], 4086.0), ([(175, 175, 215), 'LightSteelBlue3'], 3835.0), ([(78, 78, 78), 'Grey30'], 3733.0), ([(48, 48, 48), 'Grey19'], 3440.0)];[([(192, 192, 192), 'Silver'], 11219.0), ([(128, 128, 128), 'Gray'], 8747.0), ([(0, 0, 128), 'Navy'], 402.0), ([(0, 128, 128), 'Teal'], 201.0), ([(0, 0, 0), 'Black'], 148.0)];1072244.0;967019.0;5940.94921875;5876.3095703125;6191.85595703125;6997.783203125;1679591.0;191.49113373755864;False
1441;1441;DPCW4yvWQT4;7;['images\\maxresdefault\\1441_US_DPCW4yvWQT4_0.jpg'];[False];[200];['person'];[0.8847451];" 
";['happy'];[([(255, 255, 255), 'White'], 14908.0), ([(135, 135, 175), 'LightSlateGrey'], 4872.0), ([(135, 95, 95), 'LightPink4'], 3670.0), ([(175, 135, 135), 'RosyBrown'], 1863.0), ([(28, 28, 28), 'Grey11'], 1721.0)];[([(128, 128, 128), 'Gray'], 8915.0), ([(255, 255, 255), 'White'], 5254.0), ([(192, 192, 192), 'Silver'], 2748.0), ([(128, 128, 0), 'Olive'], 1461.0), ([(0, 0, 0), 'Black'], 1252.0)];964153.0;1120717.0;5686.296875;4766.9208984375;5494.1640625;5622.5732421875;1678941.0;273.2297219997712;False
1442;1442;DQDj074iEuM;2;['images\\maxresdefault\\1442_US_DQDj074iEuM_0.jpg'];[False];[200];['person'];[0.8694255];" 
";[];[([(48, 48, 48), 'Grey19'], 17253.0), ([(58, 58, 58), 'Grey23'], 10949.0), ([(8, 8, 8), 'Grey3'], 3916.0), ([(38, 38, 38), 'Grey15'], 3677.0), ([(18, 18, 18), 'Grey7'], 3217.0)];[([(0, 0, 0), 'Black'], 11064.0), ([(192, 192, 192), 'Silver'], 5021.0), ([(128, 128, 128), 'Gray'], 3509.0), ([(128, 128, 0), 'Olive'], 473.0), ([(128, 0, 0), 'Maroon'], 458.0)];1237203.0;985321.0;6787.81591796875;6441.69921875;6484.09375;6830.88525390625;1679889.0;351.5670975860886;False
1443;1443;DQQN_79QrDY;8;['images\\maxresdefault\\1443_US_DQQN_79QrDY_0.jpg'];[False];[200];[];[];" 

ve |
";[];[([(108, 108, 108), 'Grey42'], 4497.0), ([(95, 0, 0), 'DarkRed'], 3387.0), ([(118, 118, 118), 'Grey46'], 3384.0), ([(28, 28, 28), 'Grey11'], 3350.0), ([(255, 175, 175), 'LightPink1'], 2231.0)];[([(128, 0, 0), 'Maroon'], 6089.0), ([(192, 192, 192), 'Silver'], 4234.0), ([(0, 0, 0), 'Black'], 3348.0), ([(128, 128, 128), 'Gray'], 3295.0), ([(128, 0, 128), 'Purple'], 1601.0)];954053.0;1033497.0;4303.73583984375;4397.880859375;3621.79248046875;6074.8544921875;1678922.0;238.60084658505895;False
1444;1444;DRfniGCgW0I;9;['images\\maxresdefault\\1444_US_DRfniGCgW0I_0.jpg'];[False];[200];['bed'];[0.65986323];" 
";['happy'];[([(95, 135, 95), 'DarkSeaGreen4'], 8813.0), ([(135, 175, 135), 'DarkSeaGreen'], 7608.0), ([(28, 28, 28), 'Grey11'], 5093.0), ([(95, 135, 135), 'PaleTurquoise4'], 4319.0), ([(58, 58, 58), 'Grey23'], 4079.0)];[([(128, 128, 128), 'Gray'], 12543.0), ([(192, 192, 192), 'Silver'], 4150.0), ([(0, 0, 0), 'Black'], 1582.0), ([(0, 128, 0), 'Green'], 1429.0), ([(0, 128, 128), 'Teal'], 1020.0)];1018189.0;911011.0;4884.43017578125;5179.931640625;4851.8115234375;6634.6455078125;1679743.0;197.20283720398123;False
1445;1445;DSG-zxGRkJw;7;['images\\maxresdefault\\1445_US_DSG-zxGRkJw_0.jpg'];[False];[200];['person', 'car', 'person', 'car', 'car', 'car', 'bench', 'car'];[0.8162314, 0.7680957, 0.65549725, 0.5882891, 0.583709, 0.5395161, 0.52957803, 0.51537514];" 
";['happy'];[([(255, 255, 255), 'White'], 5848.0), ([(148, 148, 148), 'Grey58'], 3572.0), ([(128, 128, 128), 'Grey'], 3158.0), ([(138, 138, 138), 'Grey54'], 2873.0), ([(118, 118, 118), 'Grey46'], 2830.0)];[([(128, 128, 128), 'Gray'], 14364.0), ([(192, 192, 192), 'Silver'], 2743.0), ([(255, 255, 255), 'White'], 1109.0), ([(0, 0, 0), 'Black'], 980.0), ([(128, 0, 0), 'Maroon'], 930.0)];927344.0;1046498.0;5834.9658203125;5678.94921875;5488.1357421875;5673.458984375;1678658.0;308.23635739617896;False
1446;1446;DSRSgMp5X1w;8;['images\\maxresdefault\\1446_US_DSRSgMp5X1w_0.jpg'];[False];[200];['cup', 'person'];[0.8752352, 0.8605099];" 
";['neutral'];[([(168, 168, 168), 'Grey66'], 9099.0), ([(158, 158, 158), 'Grey62'], 7084.0), ([(148, 148, 148), 'Grey58'], 5953.0), ([(178, 178, 178), 'Grey70'], 4445.0), ([(175, 175, 175), 'Grey69'], 4299.0)];[([(192, 192, 192), 'Silver'], 10356.0), ([(128, 128, 128), 'Gray'], 7425.0), ([(0, 0, 0), 'Black'], 2928.0), ([(255, 255, 255), 'White'], 22.0), ([(128, 128, 0), 'Olive'], 2.0)];708440.0;1179559.0;7736.19921875;8239.599609375;7912.4052734375;7802.16748046875;1679872.0;255.6050795103535;False
